time_stamp,event,user_name,ip_address,access,server,nb_queued_requests_on_server,error
2025-08-06 20:30:23.404926,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:23.405041,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:26.410926,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:26.411029,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:26.414071,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:26.415245,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:29.409313,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:29.409563,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:29.413798,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:29.413887,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:32.397548,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:32.403735,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:32.432759,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:32.435337,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:35.403950,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:35.404709,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:35.407612,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:35.408599,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:38.420146,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:38.420251,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:38.424874,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:38.425021,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:41.445479,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:41.445572,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:41.451921,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
